               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10356,            0.099903,            0.053688,             0.92088,            0.078363,             0.08213,            0.028004,            0.082825,            0.090086,            0.037616,            0.070323,           0.0032975,           0.0032975
                   1,            0.078008,            0.086197,            0.035804,             0.35838,             0.23485,             0.14561,            0.049127,            0.072613,            0.067612,            0.030675,            0.040191,           0.0064995,           0.0064995
                   2,            0.076236,            0.085679,            0.031279,               0.834,             0.14151,              0.1881,            0.069956,            0.071695,            0.065092,            0.028278,            0.009928,           0.0095696,           0.0095696
                   3,            0.068684,            0.085789,            0.027152,             0.18111,               0.466,             0.25998,             0.10252,            0.063598,              0.0675,            0.024516,            0.009406,            0.009406,            0.009406
                   4,            0.062267,            0.083408,            0.023952,             0.32369,             0.51284,             0.40945,             0.18131,            0.051547,            0.063855,            0.022324,            0.009406,            0.009406,            0.009406
                   5,            0.056807,            0.080179,            0.020961,             0.33666,             0.54038,             0.39767,             0.18841,            0.053687,            0.063573,            0.020819,            0.009208,            0.009208,            0.009208
                   6,            0.052464,            0.078061,            0.018874,             0.42513,             0.56753,             0.48785,             0.21454,            0.049549,            0.062607,            0.019503,             0.00901,             0.00901,             0.00901
                   7,            0.050957,            0.078562,            0.017334,             0.53168,             0.55923,             0.55445,             0.27338,            0.046512,              0.0607,            0.018405,            0.008812,            0.008812,            0.008812
                   8,            0.048153,            0.077316,            0.015901,             0.55648,             0.56698,             0.58417,             0.28278,            0.046068,            0.061152,            0.017544,            0.008614,            0.008614,            0.008614
                   9,            0.046417,            0.074099,            0.014621,             0.63569,             0.60413,             0.62339,             0.33871,            0.041971,            0.060821,            0.016369,            0.008416,            0.008416,            0.008416
                  10,            0.045331,            0.072777,            0.014046,             0.62861,             0.63056,             0.65948,             0.33302,            0.040368,            0.059895,            0.015556,            0.008218,            0.008218,            0.008218
                  11,            0.043241,            0.073706,            0.013732,             0.69439,             0.63827,             0.68386,             0.36629,            0.039811,            0.060427,            0.015179,             0.00802,             0.00802,             0.00802
                  12,            0.042842,            0.071442,            0.012258,              0.6589,             0.66355,             0.69399,             0.39228,             0.03856,            0.060054,            0.014543,            0.007822,            0.007822,            0.007822
                  13,            0.041721,             0.07186,            0.012611,             0.62331,             0.69182,             0.68357,             0.38418,            0.035916,            0.057891,            0.014558,            0.007624,            0.007624,            0.007624
                  14,            0.039296,            0.070705,            0.011748,              0.6913,             0.67152,             0.69892,             0.37897,            0.037013,            0.059183,            0.014546,            0.007426,            0.007426,            0.007426
                  15,            0.039526,            0.067858,            0.011101,             0.68686,             0.71009,              0.7249,             0.39639,            0.038414,            0.059155,             0.01385,            0.007228,            0.007228,            0.007228
                  16,            0.039248,            0.071233,            0.010291,               0.683,             0.69935,             0.72454,             0.40821,            0.036418,            0.060127,             0.01318,             0.00703,             0.00703,             0.00703
                  17,            0.038115,            0.070787,            0.010327,             0.67377,             0.69945,             0.72062,             0.41591,            0.035006,            0.057977,            0.012969,            0.006832,            0.006832,            0.006832
                  18,            0.037538,            0.065649,           0.0097264,             0.70189,             0.72467,             0.76039,             0.44018,            0.034681,            0.058536,            0.012371,            0.006634,            0.006634,            0.006634
                  19,            0.036751,            0.067226,           0.0096117,             0.76394,             0.68023,             0.74314,              0.4346,            0.035314,            0.059303,            0.012235,            0.006436,            0.006436,            0.006436
                  20,            0.036496,            0.067762,           0.0088144,             0.73475,             0.71567,              0.7706,             0.45097,            0.034923,            0.058801,            0.011823,            0.006238,            0.006238,            0.006238
                  21,            0.036008,            0.064332,           0.0082216,             0.73239,             0.70083,              0.7772,             0.46363,            0.034814,            0.059116,            0.012081,             0.00604,             0.00604,             0.00604
                  22,            0.035264,            0.066885,           0.0084938,             0.74914,             0.70378,             0.76636,             0.46197,             0.03321,            0.057187,            0.012107,            0.005842,            0.005842,            0.005842
                  23,            0.035145,            0.066769,           0.0077706,             0.74274,             0.72497,             0.77399,             0.46772,            0.034066,            0.057719,            0.011778,            0.005644,            0.005644,            0.005644
                  24,            0.034842,            0.064808,            0.007584,             0.75516,             0.73071,             0.79496,              0.4716,             0.03283,            0.057574,            0.011409,            0.005446,            0.005446,            0.005446
                  25,            0.034165,            0.065355,           0.0081835,             0.80485,             0.71578,             0.78732,             0.46989,            0.032852,            0.057799,            0.011743,            0.005248,            0.005248,            0.005248
                  26,            0.033889,            0.063866,           0.0076612,             0.81707,             0.72976,             0.79606,             0.47924,            0.032377,            0.057279,            0.011086,             0.00505,             0.00505,             0.00505
                  27,             0.03317,            0.063221,           0.0073715,             0.76043,             0.78004,              0.8069,             0.48982,            0.031774,            0.057748,            0.010675,            0.004852,            0.004852,            0.004852
                  28,            0.033015,            0.063746,           0.0070784,             0.76822,             0.74086,             0.80187,              0.4911,             0.03208,            0.057722,            0.010783,            0.004654,            0.004654,            0.004654
                  29,            0.032722,            0.063386,           0.0073332,             0.76256,              0.7495,             0.79759,             0.49175,            0.031602,            0.057375,            0.010974,            0.004456,            0.004456,            0.004456
                  30,            0.031586,             0.06118,           0.0071029,              0.8111,             0.73724,             0.80538,             0.50953,            0.031414,            0.057505,            0.010948,            0.004258,            0.004258,            0.004258
                  31,              0.0315,            0.062681,           0.0065642,             0.80889,             0.75689,             0.80274,             0.50538,            0.031167,            0.056561,            0.011018,             0.00406,             0.00406,             0.00406
                  32,            0.031037,             0.06089,           0.0067038,             0.80113,              0.7464,             0.80804,             0.50713,            0.031167,            0.057149,            0.010827,            0.003862,            0.003862,            0.003862
                  33,            0.030744,            0.060635,           0.0065996,             0.79169,             0.77347,              0.8179,             0.51844,            0.030526,             0.05663,            0.010372,            0.003664,            0.003664,            0.003664
                  34,            0.030528,            0.062198,           0.0062396,             0.75188,             0.77829,             0.80401,             0.49271,            0.030967,            0.058486,            0.011005,            0.003466,            0.003466,            0.003466
                  35,            0.030216,            0.059206,           0.0058399,             0.79187,             0.76008,               0.824,             0.51281,            0.030826,            0.057244,            0.010599,            0.003268,            0.003268,            0.003268
                  36,            0.029799,            0.059558,           0.0061245,             0.80818,             0.75946,             0.82923,             0.52568,            0.030533,            0.057315,            0.010206,             0.00307,             0.00307,             0.00307
                  37,            0.029621,            0.061873,           0.0061752,             0.77486,             0.78955,             0.82786,             0.52823,            0.030568,            0.057449,            0.010193,            0.002872,            0.002872,            0.002872
                  38,            0.029453,            0.061575,           0.0062927,             0.82158,             0.75863,             0.82577,             0.52388,            0.030096,            0.056521,            0.010194,            0.002674,            0.002674,            0.002674
                  39,             0.02916,            0.060158,           0.0058924,              0.7907,              0.7676,             0.81187,             0.50758,             0.02996,            0.056164,            0.010307,            0.002476,            0.002476,            0.002476
                  40,            0.028517,            0.059284,            0.005637,             0.79578,             0.77881,             0.81754,              0.5263,            0.029856,            0.056433,            0.010442,            0.002278,            0.002278,            0.002278
                  41,            0.028392,            0.058527,           0.0055288,             0.81167,             0.76943,             0.82419,              0.5279,            0.029803,            0.056736,            0.010037,             0.00208,             0.00208,             0.00208
                  42,            0.028252,            0.056898,           0.0057047,             0.75516,             0.78752,             0.81965,             0.52576,            0.029485,            0.056328,            0.010215,            0.001882,            0.001882,            0.001882
                  43,            0.027945,            0.057907,           0.0054713,             0.77981,             0.79241,             0.82322,             0.52404,            0.029511,            0.056641,           0.0099989,            0.001684,            0.001684,            0.001684
                  44,            0.027507,            0.057487,           0.0056809,             0.78985,             0.79423,             0.82766,              0.5276,            0.029325,            0.056937,             0.01008,            0.001486,            0.001486,            0.001486
                  45,            0.027392,            0.058141,           0.0050454,             0.78702,             0.79564,             0.82995,             0.53068,            0.028967,            0.056067,           0.0098026,            0.001288,            0.001288,            0.001288
                  46,            0.027322,            0.058999,           0.0055367,             0.79612,             0.77552,             0.82979,             0.53651,            0.028889,            0.056287,           0.0099358,             0.00109,             0.00109,             0.00109
                  47,            0.027056,            0.057024,           0.0050275,              0.7761,             0.78906,             0.82226,             0.52841,            0.028931,            0.056473,            0.010076,            0.000892,            0.000892,            0.000892
                  48,            0.026517,              0.0549,            0.005267,             0.76316,             0.79662,              0.8183,             0.53037,             0.02888,            0.056265,            0.010152,            0.000694,            0.000694,            0.000694
                  49,            0.027359,            0.056298,           0.0053735,               0.771,             0.79182,             0.81971,             0.53252,            0.028907,            0.056376,            0.010095,            0.000496,            0.000496,            0.000496
